order_id,order_date,amount,status,is_test,channel
ORD-00001,2026-06-01,27299,completed,false,app
ORD-00002,2026-06-01,7572,completed,false,web
ORD-00003,2026-06-01,20870,completed,false,web
ORD-00004,2026-06-01,4041,completed,false,web
ORD-00005,2026-06-01,10623,completed,false,web
ORD-00006,2026-06-01,26462,completed,false,app
ORD-00007,2026-06-01,22309,completed,false,app
ORD-00008,2026-06-01,3212,completed,false,web
ORD-00009,2026-06-01,14149,completed,false,app
ORD-00010,2026-06-01,28018,completed,false,app
ORD-00011,2026-06-01,15449,completed,false,web
ORD-00012,2026-06-01,14270,completed,false,app
ORD-00013,2026-06-01,26911,completed,false,app
ORD-00014,2026-06-01,15403,completed,false,web
ORD-00015,2026-06-01,23599,completed,false,app
ORD-00016,2026-06-01,26087,completed,false,web
ORD-00017,2026-06-01,10467,cancelled,false,app
ORD-00018,2026-06-01,10628,completed,false,web
ORD-00019,2026-06-01,17857,completed,false,app
ORD-00020,2026-06-01,14641,completed,false,web
ORD-00021,2026-06-02,25398,completed,false,web
ORD-00022,2026-06-02,8607,completed,false,web
ORD-00023,2026-06-02,15433,completed,false,app
ORD-00024,2026-06-02,23971,completed,false,web
ORD-00025,2026-06-02,28176,completed,false,web
ORD-00026,2026-06-02,4051,completed,false,app
ORD-00027,2026-06-02,5168,completed,false,web
ORD-00028,2026-06-02,21585,completed,false,app
ORD-00029,2026-06-02,19358,completed,false,app
ORD-00030,2026-06-02,24064,completed,false,app
ORD-00031,2026-06-02,7575,completed,false,web
ORD-00032,2026-06-02,20661,completed,false,app
ORD-00033,2026-06-02,17038,completed,false,app
ORD-00034,2026-06-02,7532,completed,false,app
ORD-00035,2026-06-02,4543,completed,false,web
ORD-00036,2026-06-02,8242,completed,false,app
ORD-00037,2026-06-02,15608,completed,false,app
ORD-00038,2026-06-02,18337,completed,false,app
ORD-00039,2026-06-02,3376,completed,false,web
ORD-00040,2026-06-02,20595,completed,false,app
ORD-00041,2026-06-03,12617,completed,false,app
ORD-00042,2026-06-03,3106,completed,false,app
ORD-00043,2026-06-03,27967,completed,false,web
ORD-00044,2026-06-03,6486,completed,false,app
ORD-00045,2026-06-03,19635,completed,false,web
ORD-00046,2026-06-03,27985,completed,false,web
ORD-00047,2026-06-03,28514,completed,false,web
ORD-00048,2026-06-03,19010,completed,false,web
ORD-00049,2026-06-03,14894,completed,false,app
ORD-00050,2026-06-03,10892,completed,false,web
ORD-00051,2026-06-03,18924,completed,false,web
ORD-00052,2026-06-03,20455,completed,false,web
ORD-00053,2026-06-03,18574,completed,false,web
ORD-00054,2026-06-03,22876,completed,false,app
ORD-00055,2026-06-03,20671,completed,false,web
ORD-00056,2026-06-03,16074,completed,false,app
ORD-00057,2026-06-03,19959,completed,false,app
ORD-00058,2026-06-03,10362,completed,false,web
ORD-00059,2026-06-03,22277,completed,false,web
ORD-00060,2026-06-03,3235,completed,false,web
ORD-00061,2026-06-04,10501,completed,false,web
ORD-00062,2026-06-04,13827,completed,false,web
ORD-00063,2026-06-04,12125,completed,false,app
