date,dau
2026-06-01,1232
2026-06-02,1235
2026-06-03,1204
2026-06-04,1215
2026-06-05,1196
2026-06-06,1152
2026-06-07,1196
2026-06-08,1189
2026-06-09,1173
2026-06-10,1177
2026-06-11,1193
2026-06-12,1248
2026-06-13,1212
2026-06-14,1174
2026-06-15,1178
2026-06-16,1167
2026-06-17,1169
2026-06-18,1159
2026-06-19,1187
2026-06-20,1250
2026-06-21,1162
2026-06-22,1214
2026-06-23,1248
2026-06-24,1019
2026-06-25,1044
2026-06-26,1017
2026-06-27,1154
2026-06-28,1234
2026-06-29,1193
2026-06-30,1248
