ticket_id,opened_at,first_response_at,plan,subject
TCK-0001,2026-06-24 09:02:00,2026-06-24 15:02:00,pro,ログインできない
TCK-0002,2026-06-24 13:45:00,2026-06-25 08:09:00,basic,注文履歴が見られない
TCK-0003,2026-06-24 16:53:00,2026-06-24 22:53:00,basic,検索結果が表示されない
TCK-0004,2026-06-24 18:46:00,2026-06-25 09:16:00,basic,検索結果が表示されない
TCK-0005,2026-06-24 18:57:00,2026-06-24 20:45:00,pro,クーポンが適用されない
TCK-0006,2026-06-25 08:42:00,2026-06-25 11:24:00,pro,配送状況が分からない
TCK-0007,2026-06-25 09:33:00,2026-06-25 10:45:00,pro,検索結果が表示されない
TCK-0008,2026-06-25 10:18:00,2026-06-25 15:48:00,pro,画像がアップロードできない
TCK-0009,2026-06-25 11:24:00,2026-06-25 21:18:00,basic,検索結果が表示されない
TCK-0010,2026-06-25 14:28:00,2026-06-26 05:40:00,basic,画像がアップロードできない
TCK-0011,2026-06-25 14:58:00,2026-06-26 04:40:00,basic,ログインできない
TCK-0012,2026-06-25 17:17:00,2026-06-25 17:47:00,pro,ログインできない
TCK-0013,2026-06-26 08:44:00,2026-06-27 14:44:00,basic,検索結果が表示されない
TCK-0014,2026-06-26 14:05:00,2026-06-27 07:53:00,basic,ログインできない
TCK-0015,2026-06-26 16:42:00,2026-06-26 18:54:00,pro,配送状況が分からない
TCK-0016,2026-06-26 17:01:00,2026-06-26 19:13:00,pro,注文履歴が見られない
TCK-0017,2026-06-27 11:48:00,2026-06-27 19:48:00,basic,決済でエラーになる
TCK-0018,2026-06-27 16:17:00,2026-06-27 18:29:00,pro,注文履歴が見られない
TCK-0019,2026-06-27 17:49:00,2026-06-27 21:13:00,pro,注文履歴が見られない
TCK-0020,2026-06-28 09:08:00,2026-06-28 09:26:00,pro,検索結果が表示されない
TCK-0021,2026-06-28 14:09:00,2026-06-28 20:09:00,basic,二重に課金された
TCK-0022,2026-06-28 16:56:00,2026-06-29 03:14:00,basic,クーポンが適用されない
TCK-0023,2026-06-28 17:03:00,2026-06-28 17:33:00,pro,注文履歴が見られない
TCK-0024,2026-06-28 18:43:00,2026-06-28 21:07:00,pro,クーポンが適用されない
TCK-0025,2026-06-29 09:29:00,2026-06-29 16:29:00,pro,返金がまだ反映されない
TCK-0026,2026-06-29 15:10:00,2026-06-30 03:52:00,basic,ログインできない
TCK-0027,2026-06-29 16:31:00,2026-06-29 17:13:00,pro,ログインできない
TCK-0028,2026-06-29 18:25:00,2026-06-29 21:01:00,pro,画像がアップロードできない
TCK-0029,2026-06-30 09:52:00,2026-06-30 17:04:00,basic,注文履歴が見られない
TCK-0030,2026-06-30 10:34:00,2026-06-30 20:28:00,basic,注文履歴が見られない
